,manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,created_at_before,updated_at,real_start_date,real_end_date,genres,themes,demographics,authors,serializations,synopsis,background,main_picture,url,title_english,title_japanese,title_synonyms
39,3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,manga,8.57,58809,finished,18.0,174.0,1992-04-21,1995-11-21,98428,6407,True,True,2007-11-24 21:29:39+00:00,2023-01-01 08:04:34+00:00,1992-04-21,1995-11-21,"['Action', 'Supernatural']",[],['Shounen'],"[{'id': 2619, 'first_name': 'Hirohiko', 'last_name': 'Araki', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"In 1999, Joutarou Kuujou arrives at the Japanese town of Morioh for two reasons: to meet his illegitimate uncle Jousuke Higashikata and investigate a potentially dangerous Stand user. Only minutes after he arrives does he accomplish his first goal; however, Joutarou finds that Jousuke is not only a much younger high school student, but he possesses a Stand of his own called Crazy Diamond. Not long after their meeting, the two make a startling discovery: someone is using a supernatural bow and arrow to create Stand users around Morioh.

When Jousuke witnesses the threat that this poses, he resolves to protect his town and stop the spread of lethal Stand users. Finding both allies and enemies among these users, Jousuke learns just how much one's personal interests and ambitions can be reflected in their Stands, and the resulting harm or virtue it brings. As they continue to investigate, they begin to unearth the shocking history of Morioh, bringing forth hidden dangers and a mystery from years past.

[Written by MAL Rewrite]","JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai was published in English as JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable by VIZ Media from May 7, 2019 to May 4, 2021. The series was published in Italian by Star Comics from March 1997 to July 1999. A live-action film adaptation of the series by director Takashi Miike premiered in Japan on August 4, 2017.",https://cdn.myanimelist.net/images/manga/3/269910l.jpg,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,"['Diamond Is Not Crash', 'Dai 4 Bu: Higashikata Jousuke']"
197,7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,novel,8.3,16089,finished,1.0,7.0,2006-08-01,2006-08-01,34316,888,True,True,2008-05-19 21:55:51+00:00,2023-01-01 17:09:54+00:00,2006-08-01,2006-08-01,['Mystery'],[],[],"[{'id': 1888, 'first_name': 'Takeshi', 'last_name': 'Obata', 'role': 'Art'}, {'id': 5254, 'first_name': 'ISIN', 'last_name': 'NISIO', 'role': 'Story'}]",[],"A serial killer terrorizes the streets of Los Angeles. This brilliant psychopath commits seemingly perfect murders, brazenly challenging the police with cryptic riddles. The enigmatic and world-famous detective L has been hired to crack the case. However, to keep himself out of the public eye, L seeks out FBI agent Naomi Misora to carry out the investigation for him.

Misora agrees to aid L's endeavors, but soon finds herself caught up in an intense battle of wits between L and the culprit. Who is this mysterious killer, and why do they leave clues for the LAPD to decipher? Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken follows Misora on her journey to solve these mysteries and bring the indiscriminate murders to an end once and for all.

[Written by MAL Rewrite]","Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken was published in English as Death Note Another Note: The Los Angeles BB Murder Cases by VIZ Media on February 19, 2008.",https://cdn.myanimelist.net/images/manga/1/253578l.jpg,https://myanimelist.net/manga/7458/Death_Note_Another_Note__Los_Angeles_BB_Renzoku_Satsujin_Jiken,Death Note Another Note: The Los Angeles BB Murder Cases,DEATH NOTE アナザーノート ロサンゼルスBB連続殺人事件,[]
234,10573,Sekaiichi Hatsukoi: Onodera Ritsu no Baai,manga,8.37,10846,currently_publishing,,,2006-10-13,,26327,1602,False,True,2008-10-03 03:23:50+00:00,2023-04-10 14:46:15+00:00,2006-10-13,,"['Boys Love', 'Comedy', 'Drama', 'Erotica']",[],[],"[{'id': 1918, 'first_name': 'Shungiku', 'last_name': 'Nakamura', 'role': 'Story & Art'}]",['Emerald'],"Ritsu Onodera's dream is to edit Japan's bestselling novels, which makes Marukawa Publishing the best place to fulfill his goal. However, things do not go as planned when, instead of the literature department, he is assigned to Emerald—the shoujo manga department! To make things worse, his new boss, Masamune Takano, is an unsubtle slave driver willing to go as far as kissing Onodera to act as a reference for a manga artist. Nevertheless, Onodera is driven to prove himself, hoping that his good performance will allow him to transfer someday.

Onodera slowly settles into the flow of the surprisingly all-male Emerald Department, and the romantically-themed work reminds him of his high school ex-boyfriend and first love. Not wanting to think about that jerk, he focuses on learning the ropes from Takano, who behaves strangely the more he learns about Onodera's past. It all comes to a head when they finally recognize each other: Takano is the jerk who broke Onodera's heart, but according to Takano, it was Onodera who suddenly left him without a word.

Emerald's passionate editors already know plenty about romance, but they can learn even more about it themselves once they meet their one and only true love. In Onodera's case, it is only a matter of time until he realizes that he is still very much in the middle of the ""world's greatest first love.""

[Written by MAL Rewrite]","Sekaiichi Hatsukoi: Onodera Ritsu no Baai has been published in English as The World's Greatest First Love: The Case of Ritsu Onodera by SuBLime since April 14, 2015. The Emerald manga magazine, launched by Kadokawa, is the real-life version of the one featured in Sekaiichi Hatsukoi, the only difference being that the fictional Emerald features only shoujo manga while the real-life one features both shoujo and yaoi titles.",https://cdn.myanimelist.net/images/manga/1/279878l.jpg,https://myanimelist.net/manga/10573/Sekaiichi_Hatsukoi__Onodera_Ritsu_no_Baai,The World's Greatest First Love: The Case of Ritsu Onodera,世界一初恋 ～小野寺律の場合～,"[""World's Greatest First Love: Ritsu Onodera's Affair"", 'Sekaiichi Hatsukoi: Yukina Kou no Baai']"
360,16081,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,manga,8.35,6978,finished,5.0,22.0,2009-09-19,2011-06-22,14105,231,True,True,2009-09-16 01:50:53+00:00,2022-05-18 16:18:53+00:00,2009-09-19,2011-06-22,"['Drama', 'Horror', 'Mystery']",['Psychological'],['Shounen'],"[{'id': 3751, 'first_name': 'Kei', 'last_name': 'Natsumi', 'role': 'Art'}, {'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}]",['Gangan Joker'],"Ever since she was young, Eva Ushiromiya has worked tirelessly to prove herself as the ideal successor to the Ushiromiya family headship. Despite facing endless discrimination as a woman, she is determined to overcome the odds and surpass her older brother Krauss, who is set to inherit the position by way of birthright.

An opportunity to realize her dream comes at the annual conference on the island of Rokkenjima. With the announcement of the epitaph's riddle, Eva believes that finding the hidden gold will force the rest of the family members to acknowledge her. However, as the adults of the Ushiromiya family decipher the puzzle, a string of unexplained murders ensues, forewarning the unfortunate fate that awaits them in the end.

Meanwhile, the game board between the Golden Witch Beatrice and Battler Ushiromiya commences once more—bringing new yet unlikely accomplices to participate in the duel.

[Written by MAL Rewrite]","Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch was published in English as Umineko When They Cry Episode 3: Banquet of the Golden Witch in two omnibus volumes by Yen Press from January 21, 2014 and April 22, 2014. It was also released digitally from April 22, 2014 to April 29, 2014.",https://cdn.myanimelist.net/images/manga/2/259980l.jpg,https://myanimelist.net/manga/16081/Umineko_no_Naku_Koro_ni_-_Episode_3__Banquet_of_the_Golden_Witch,Umineko WHEN THEY CRY Episode 3: Banquet of the Golden Witch,うみねこのなく頃に - Episode 3: Banquet of the Golden Witch,['When Seagulls Cry Episode 3: Banquet of the Golden Witch']
363,21498,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,manga,8.5,6249,finished,6.0,27.0,2010-10-22,2012-11-22,13579,449,True,True,2010-08-21 19:23:25+00:00,2022-12-24 14:17:18+00:00,2010-10-22,2012-11-22,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],['Shounen'],"[{'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}, {'id': 19801, 'first_name': '', 'last_name': 'Akitaka', 'role': 'Art'}]",['Gangan Joker'],"In the aftermath of their climactic duel, Battler Ushiromiya is left to ponder the abrupt resignation of the Golden Witch Beatrice, who is now a husk of her former self. Beatrice's drastic departure from her defiant motives urges him to question every circumstance in the previous four games. Despite wanting to stay by her side, Battler resolves to regain control of the current situation, where Lambdadelta and Frederica Bernkastel have temporarily taken their places to play the fifth game board.

With the passing of Kinzou Ushiromiya, Krauss Ushiromiya succeeds the family headship amid deep financial troubles. Due to poor investment choices, the family inheritance is set to fall into the hands of Krauss' benefactors, allowing his siblings to easily take legal action against him. In order to assist her husband, Natsuhi Ushiromiya enlists Beatrice's help to revive the former head—hoping to conceal the truth until the debts are paid.

Enter Erika Furudo: a self-proclaimed detective who washes up on the island of Rokkenjima at the start of the family's annual conference. Welcomed as an honored guest, Erika quickly takes an interest in the ongoing discussion about the riddle of the epitaph. The pompous girl's tenacious investigation into finding the hidden gold, however, sparks a chain of events that threatens to collapse the order of the Ushiromiya family.

[Written by MAL Rewrite]","Umineko no Naku Koro ni - Episode 5: End of the Golden Witch was published in English as Umineko When They Cry - Episode 5: End of the Golden Witch in three omnibus volumes by Yen Press from May 19, 2015 to January 26, 2016.",https://cdn.myanimelist.net/images/manga/2/273941l.jpg,https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch,Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,うみねこのなく頃に散 - Episode 5: End of the Golden Witch,['When Seagulls Cry Episode 5: End of the Golden Witch']
374,34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,manga,8.84,5588,finished,9.0,42.0,2012-01-21,2015-06-22,15321,1403,True,True,2012-01-24 23:15:53+00:00,2022-04-18 01:51:16+00:00,2012-01-21,2015-06-22,"['Drama', 'Fantasy', 'Mystery', 'Supernatural']",[],['Shounen'],"[{'id': 3751, 'first_name': 'Kei', 'last_name': 'Natsumi', 'role': 'Art'}, {'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}]",['Gangan Joker'],"The last episode of Umineko no Naku Koro ni, features a scenario where Ange is present with her family at the 1986 conference, in an attempt to uncover the heart of the mystery and conclude the long fought struggle between mystery and fantasy.

(Source: Wikipedia)",,https://cdn.myanimelist.net/images/manga/3/206205l.jpg,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch,Umineko When They Cry Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,['When Seagulls Cry Episode 8: Twilight of the Golden Witch']
425,16144,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,manga,8.28,6408,finished,6.0,29.0,2009-10-01,2012-02-02,13076,229,True,True,2009-09-21 08:07:53+00:00,2022-05-18 16:20:28+00:00,2009-10-01,2012-02-02,"['Drama', 'Horror', 'Mystery']","['Mythology', 'Psychological']",[],"[{'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}, {'id': 21719, 'first_name': '', 'last_name': 'Souichirou', 'role': 'Art'}]",['Gangan Online'],"Following the 1986 Rokkenjima Mass Murder Incident, Ange Ushiromiya is the last surviving member of her family. Bearing immense guilt for being unable to accompany her parents and older brother Battler to the island, Ange has been desperate to know the truth behind the grim events. However, 12 years later, further hardships torment the grieving girl—isolating her from the world she once loved.

On the brink of giving up, Ange is visited by Frederica Bernkastel, the Witch of Miracles. As a spectator of Beatrice's games, Bernkastel offers Ange a chance to not only learn what occurred on Rokkenjima, but also exact revenge on the person who murdered her family. Despite the possibility that her wish will go unfulfilled, Ange accepts the deal and inherits the name of the Golden Witch, allowing her to travel back in time to assist Battler.

This new, spirited alliance provides Battler the conviction to fervently proceed in his uphill battle as the game board continues to transform in unexpected ways.

[Written by MAL Rewrite]","Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch was published in English as Umineko When They Cry - Episode 4: Alliance of the Golden Witch in three omnibus volumes by Yen Press from July 22, 2014 to January 20, 2015.",https://cdn.myanimelist.net/images/manga/1/259926l.jpg,https://myanimelist.net/manga/16144/Umineko_no_Naku_Koro_ni_-_Episode_4__Alliance_of_the_Golden_Witch,Umineko WHEN THEY CRY Episode 4: Alliance of the Golden Witch,うみねこのなく頃に - Episode 4: Alliance of the Golden Witch,['When Seagulls Cry Episode 4: Alliance of the Golden Witch']
440,81211,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,light_novel,8.55,5083,finished,5.0,25.0,2014-11-01,2016-04-01,24562,880,True,True,2014-10-13 17:57:36+00:00,2023-01-04 14:12:07+00:00,2014-11-01,2016-04-01,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",[],[],"[{'id': 31991, 'first_name': 'Akira', 'last_name': 'Kareno', 'role': 'Story'}, {'id': 34867, 'first_name': '', 'last_name': 'ue', 'role': 'Art'}]",[],"Willem Kmetsch wakes up from his icy slumber as the last surviving Emnetwiht, a race of humans that populated the planet’s surface until they met their untimely demise five centuries ago at the hands of ""Beasts."" Currently, he lives among the hundred odd floating islands that make up civilization—otherwise inhabited by various other species, all of whom possess distinct animal-like features such as horns, fangs, wings, and scales. Because he lacks any such feature, Willem is referred to as a ""markless.""
 
One day, Willem encounters another markless named Ctholly Nota Seniorious. He thinks nothing of the meeting, and continues to spend his days working odd jobs until he runs into her again, this time after accepting a military posting.  Willem soon learns that the group of bubbly young Leprechauns he is tasked to look after are pivotal in the ongoing battle against the Beasts. These girls, who have had little exposure outside a world where they are treated as weapons, are willing to die if it means defeating the Beasts.

Determined to nurture a life of normalcy for them, Willem soon becomes a father figure to the girls. Just like how he once went off to battle, he must now come to terms with watching these children go off to war.

[Written by MAL Rewrite]","Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? was published in English as WorldEnd: What do you do at the end of the world? Are you busy? Will you save us? by Yen Press under the Yen On imprint from July 31, 2018 to December 10, 2019.",https://cdn.myanimelist.net/images/manga/3/174609l.jpg,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,終末なにしてますか？忙しいですか？救ってもらっていいですか？,"['SukaSuka', 'What are you doing at the end? Are you busy? Can you save me?', 'Do you have what THE END? Are you busy? Shall you save xxx?']"
444,21499,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,manga,8.43,5378,finished,6.0,26.0,2010-11-18,2012-11-17,11818,243,True,True,2010-08-21 19:23:25+00:00,2022-12-24 14:19:26+00:00,2010-11-18,2012-11-17,"['Drama', 'Horror', 'Mystery', 'Supernatural']",[],['Shounen'],"[{'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}, {'id': 10695, 'first_name': 'Hinase', 'last_name': 'Momoyama', 'role': 'Art'}]",['GFantasy'],"Now that Battler's found the truth, he's become the next game master. In order to prove to Bernkastel and Lambdadelta that he understands all of Beatrice's previous tricks, he's built a game board of his own and now has to face off against Erika once again.","Umineko no Naku Koro ni - Episode 6: Dawn of the Golden Witch was published in English in 2-in-1 omnibuse volumes by Yen Press from May 24, 2016 to January 24, 2017.",https://cdn.myanimelist.net/images/manga/2/273942l.jpg,https://myanimelist.net/manga/21499/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_6__Dawn_of_the_Golden_Witch,Umineko WHEN THEY CRY Episode 6: Dawn of the Golden Witch,うみねこのなく頃に散 Episode 6: Dawn of the Golden Witch,['When Seagulls Cry Episode 6: Dawn of the Golden Witch']
461,23900,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,manga,8.58,4834,finished,9.0,48.0,2011-04-13,2015-03-12,11980,321,True,True,2011-01-12 23:14:31+00:00,2022-12-24 14:21:18+00:00,2011-04-13,2015-03-12,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],['Shounen'],"[{'id': 2485, 'first_name': 'Eita', 'last_name': 'Mizuno', 'role': 'Art'}, {'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}]",['Shounen Gangan'],"Adaption on 07th Expansion's popular visual novel.

This episode features a new detective, a man called Willard H. Wright, who will uncover several truths about Rokkenjima's murder mystery. We will also get to know Lion Ushiromiya, a mysterious new member of the Ushiromiya family.","Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch has been published in English as Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch by Yen Press in 3-in-1 omnibuses since December 19, 2017.",https://cdn.myanimelist.net/images/manga/1/273943l.jpg,https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch,Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch,うみねこのなく頃に散 - Episode 7: Requiem of the golden witch,['When Seagulls Cry Episode 7: Requiem of the Golden Witch']
575,86119,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,light_novel,8.73,3813,currently_publishing,,,2015-01-25,,12923,825,True,True,2015-02-05 12:41:06+00:00,2023-07-02 08:28:44+00:00,2015-01-25,,['Fantasy'],"['Isekai', 'Reincarnation']",[],"[{'id': 10062, 'first_name': 'You', 'last_name': 'Shiina', 'role': 'Art'}, {'id': 36777, 'first_name': 'Miya', 'last_name': 'Kazuki', 'role': 'Story'}]",[],"Urano Motosu's lifelong dream to become a librarian comes true. Luck is not on her side, however, as a plethora of books falls on her during an earthquake. On the verge of death, she begs God to be reborn surrounded by nothing but books.

Her wish is fulfilled, albeit not how she expected: Urano is reincarnated as Myne—a sickly five-year-old child with an ardent desire to read—in another world where the upper class controls knowledge, and only the privileged have access to written works. As a commoner, Myne is distraught that she will never be able to find what she is yearning for.

To obtain books, Myne decides she should make them herself. Currently, she is but a kid thrust into an unknown place—but nothing will not stop Myne from achieving her goal.

[Written by MAL Rewrite]","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen began as a web novel on Shousetsuka ni Narou on September 23, 2013. TO Books has released a revised and illustrated version of the series since January 25, 2015 under its TO Books Ranobe label. On Kono Light Novel ga Sugoi!'s ranking in the best book category, the series placed fifth in 2017; first in 2018 and 2019; second in 2020 and 2021; and third in 2022. The series has been published digitally in English as Ascendance of a Bookworm: I'll do Anything to Become a Librarian! by J-Novel Club since May 20, 2019, and in print since September 3, 2019. The light novel has been adapted into drama CDs by TO Books since September 9, 2017.",https://cdn.myanimelist.net/images/manga/1/149552l.jpg,https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,Ascendance of a Bookworm: I'll do Anything to Become a Librarian!,本好きの下剋上 ～司書になるためには手段を選んでいられません～,[]
586,123681,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,manga,7.8,13191,currently_publishing,,,2019-12-26,,45437,1548,True,True,2020-01-08 18:19:36+00:00,2023-03-23 22:31:52+00:00,2019-12-26,,"['Comedy', 'Romance']","['Harem', 'Parody', 'School']",['Seinen'],"[{'id': 41712, 'first_name': 'Yukiko', 'last_name': 'Nozawa', 'role': 'Art'}, {'id': 43247, 'first_name': 'Rikito', 'last_name': 'Nakamura', 'role': 'Story'}]",['Young Jump'],"Upon graduating middle school, Rentarou Aijou manages to confess to the girl he loves. Unfortunately, he gets rejected, making it his 100th rejection in a row. Having experienced heartbreak after heartbreak, he goes to a matchmaking shrine and prays with the hope of finally getting a girlfriend in high school. Suddenly, the god of the shrine appears, promising Rentarou that he will meet one hundred soulmates in high school.

Although skeptical at first, Rentarou quickly acknowledges the truth behind the god's words when two of his soulmates—Hakari Hanazono and Karane Inda—confess to him the very same day that they meet him. However, there was one detail that the god forgot to tell Rentarou: if any of his soulmates fails to get into a relationship with him, they will die. Now trapped in a matter of life and death, Rentarou decides to date all of his soulmates.

With a heart so big that it can be shared among one hundred girlfriends, Rentarou makes the most out of his unanticipated high school life, with the Rentarou family growing ever larger!

[Written by MAL Rewrite]","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo has been published in English as The 100 Girlfriends Who Really, Really, Really, Really, Really Love You by Seven Seas Entertainment under the Ghost Ship imprint since February 22, 2022.",https://cdn.myanimelist.net/images/manga/2/229606l.jpg,https://myanimelist.net/manga/123681/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",君のことが大大大大大好きな100人の彼女,[]
588,3749,Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch,manga,7.82,11138,finished,4.0,23.0,2007-12-22,2009-08-22,28958,611,True,True,2008-01-06 09:30:05+00:00,2022-04-16 19:13:10+00:00,2007-12-22,2009-08-22,"['Comedy', 'Drama', 'Horror', 'Mystery', 'Supernatural']",['Psychological'],[],"[{'id': 3751, 'first_name': 'Kei', 'last_name': 'Natsumi', 'role': 'Art'}, {'id': 5092, 'first_name': '', 'last_name': 'Ryukishi07', 'role': 'Story'}]",['Gangan Joker'],"Every year, the Ushiromiya family attends a gathering held by the eccentric family head, Kinzou, on the island of Rokkenjima. As his health is failing, most of the family believe he doesn't have much time left. So as a typhoon rages on outside, so too does the storm in their hearts as they squabble amongst themselves over the inheritance and the claim of being Kinzou's rightful heir.

Battler, Kinzou's grandson, has returned to Rokkenjima after a six year absence, expecting the gathering to go smoothly. However, his eccentric grandfather has other plans; he enacts a bizarre game, challenging everyone to find his hidden gold. The one who finds it also receives the most coveted reward of all: the leadership of the family. However, their game is beset with violence and murder when the participants are used as ""sacrifices"" to revive the Millennial Witch of Rokkenjima, Beatrice.

Ever the skeptic, Battler doesn't believe in the occult. But when so many around him turn up dead, he is forced to question whether it was the work of magic or the machinations of someone among them.

[Written by MAL Rewrite]","Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch was published in English as in two omnibus volumes by Yen Press on November 20, 2012 and February 26, 2013, respectively, as well as in eBook format on April 22, 2014.",https://cdn.myanimelist.net/images/manga/3/248922l.jpg,https://myanimelist.net/manga/3749/Umineko_no_Naku_Koro_ni_-_Episode_1__Legend_of_the_Golden_Witch,Umineko When They Cry Episode 1: Legend of the Golden Witch,うみねこのなく頃に - Episode 1: Legend of the Golden Witch,['When Seagulls Cry Episode 1: Legend of the Golden Witch']
627,28533,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,manga,7.74,18237,currently_publishing,,,2011-08-04,,53454,3189,True,True,2011-08-29 08:46:04+00:00,2022-04-18 05:03:53+00:00,2011-08-04,,['Comedy'],"['Otaku Culture', 'School']",[],"[{'id': 7879, 'first_name': 'Nico', 'last_name': 'Tanigawa', 'role': 'Story & Art'}]",['Gangan Online'],"Tomoko Kuroki is not cool. She is unattractive, socially awkward, and spends most of her evenings playing video games. Even so, no one wants popularity as desperately as she does. With one ingenious idea after another, Tomoko comes ever closer to achieving her goal—or so she thinks. Utilizing such innovative methods as imitating popular anime personas and buying expensive panties, she claws her way toward attaining the social status of her dreams.

Pathetically hilarious and strangely charming, Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! depicts Tomoko's daily struggles with social anxiety in a lighthearted and relatable way.

[Written by MAL Rewrite]","Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! has been published in English as No Matter How I Look At It, It's You Guys' Fault I'm Not Popular! by Yen Press since October 29, 2013, as well as in eBook format since January 20, 2015.",https://cdn.myanimelist.net/images/manga/5/63521l.jpg,https://myanimelist.net/manga/28533/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui,"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!",私がモテないのはどう考えてもお前らが悪い!,"['WataMote', 'Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!', ""It's Not My Fault That I'm Not Popular!""]"
629,80719,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,manga,8.04,5129,finished,5.0,31.0,2014-10-25,2017-10-25,13412,169,True,True,2014-10-04 10:38:04+00:00,2023-01-01 08:43:41+00:00,2014-10-25,2017-10-25,"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",['Seinen'],"[{'id': 17769, 'first_name': 'Makoto', 'last_name': 'Fuugetsu', 'role': 'Art'}, {'id': 32649, 'first_name': 'Tappei', 'last_name': 'Nagatsuki', 'role': 'Story'}]",['Big Gangan'],"The unaware Subaru Natsuki wakes to see two figures standing in a completely unfamiliar room. The two girls, who turn out to be the sisters Rem and Ram, are immediately teased by Subaru for their synchronistic way of speaking. Before he can go too far, he is interrupted by Emilia—the charming girl he saved at the cost of losing his life thrice using ""Return By Death,"" an ability that allows him to return to a certain ""savepoint"" each time he dies.

Emilia informs him that due to the injury he received while protecting her from Elsa Granhiert, she brought him to the mansion she lives in. There, Subaru meets Roswaal L. Mathers, the clownlike count who owns the residence. While everyone is having breakfast, Subaru requests a reward: to let him be hired as a butler alongside Rem and Ram, which Roswaal quickly grants.

Everything seems to be going well for Subaru. However, after a few days inside the mansion, he mysteriously wakes up at the beginning again, reminding him an awful lot of his ability. Can Subaru unravel the mystery behind his death, or will his spirit break first?

[Written by MAL Rewrite]","Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen has been published in English as Re:ZERO -Starting Life in Another World-, Chapter 2: A Week at the Mansion by Yen Press since May 23, 2017. It has been also licensed in Polish by Waneko.",https://cdn.myanimelist.net/images/manga/3/188947l.jpg,https://myanimelist.net/manga/80719/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-2_Shou_-_Yashiki_no_Isshuukan-hen,"Re:ZERO -Starting Life in Another World-, Chapter 2: A Week at the Mansion",Re：ゼロから始める異世界生活 第二章 屋敷の一週間編,"['ReZero Dainishou: Yashiki no Isshuukan-hen', 'Re: Life in a Different World from Zero: The Tale of ""1 Week""']"
745,131706,Kimetsu no Yaiba Gaiden,manga,7.7,12628,finished,1.0,5.0,2019-04-01,2020-10-17,22840,219,True,True,2020-12-06 06:06:17+00:00,2022-04-17 16:20:36+00:00,2019-04-01,2020-10-17,"['Action', 'Fantasy']",['Historical'],['Shounen'],"[{'id': 41813, 'first_name': 'Ryouji', 'last_name': 'Hirano', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"1-2. Kimetsu no Yaiba: Tomioka Giyuu Gaiden
3-4. Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden
5. Kimetsu no Aima!","Kimetsu no Yaiba Gaiden was published in English as Demon Slayer: Kimetsu no Yaiba - Stories of Water and Flame by Viz Media on January 4, 2022.",https://cdn.myanimelist.net/images/manga/3/238006l.jpg,https://myanimelist.net/manga/131706/Kimetsu_no_Yaiba_Gaiden,Demon Slayer: Kimetsu no Yaiba - Stories of Water and Flame,鬼滅の刃 外伝,"['Kimetsu no Yaiba: Tomioka Giyuu Gaiden', 'Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden', 'Kimetsu no Aima!']"
